size_numeric,years,Austin,San Francisco,Seattle,Big_Data_Analytics,Crowdsourcing,Health_Care_Information_Technology,Mobile_Games,Predictive_Analytics,raised_2m
5,7.62739726,0,0,0,0,0,0,0,0,0
25,5.375342466,0,1,0,0,0,0,0,0,1
25,6.290410959,0,0,0,0,0,0,0,0,0
25,3.871232877,0,0,1,0,0,0,0,0,0
5,7.290410959,0,0,0,0,0,0,0,0,0
5,7.04109589,0,0,0,0,0,0,0,0,0
5,5.208219178,0,0,0,0,0,0,0,0,0
5,5.871232877,0,0,0,0,0,0,0,0,0
5,6.709589041,0,0,0,0,0,0,0,0,1
5,7.709589041,0,0,0,0,0,0,0,0,0
25,5.208219178,0,0,0,0,0,0,0,0,1
25,5.290410959,0,0,0,0,0,0,0,0,0
5,6.208219178,0,0,1,0,0,0,0,0,0
5,7.04109589,0,0,0,0,0,0,0,0,0
5,6.460273973,0,0,0,0,0,0,0,0,0
5,5.290410959,0,0,0,0,0,0,0,0,0
5,5.794520548,0,0,0,0,0,0,0,0,0
5,6.04109589,0,0,0,0,0,0,0,0,0
5,6.709589041,0,0,0,0,0,0,0,0,0
5,5.956164384,0,0,0,0,0,0,0,0,0
5,7.709589041,0,0,0,0,0,0,0,0,0
5,5.794520548,0,0,0,0,1,0,0,0,0
125,4.871232877,0,0,0,0,0,0,0,0,0
5,6.794520548,0,0,0,0,0,0,0,0,0
25,7.709589041,0,0,0,0,0,0,0,0,1
5,6.208219178,0,0,0,0,0,0,0,0,0
5,6.123287671,0,0,0,0,0,0,0,0,0
25,4.871232877,0,0,0,0,0,0,0,0,1
5,7.62739726,0,0,0,0,0,0,0,0,0
5,5.709589041,0,0,0,0,0,0,0,0,0
5,7.794520548,0,1,0,0,0,1,0,0,1
25,7.375342466,0,1,0,0,0,0,0,0,0
25,7.794520548,0,0,0,0,0,0,0,0,0
5,4.956164384,0,0,0,0,0,0,0,0,0
5,7.04109589,0,0,0,0,0,0,0,0,0
25,7.375342466,0,0,0,0,0,0,0,0,0
25,4.62739726,0,0,0,0,0,0,0,0,1
5,6.208219178,0,0,0,0,0,0,0,0,0
5,6.542465753,0,0,0,0,0,0,0,0,0
5,7.375342466,0,0,0,0,0,0,0,0,0
5,5.956164384,0,0,0,0,0,0,0,0,0
25,8.545205479,0,1,0,0,0,0,0,0,1
5,6.871232877,0,0,0,0,0,0,0,0,0
25,5.709589041,0,1,0,0,0,0,0,0,1
5,6.542465753,0,0,0,0,0,0,0,0,0
5,7.208219178,0,0,0,0,0,0,0,0,0
25,7.208219178,0,0,0,0,0,0,0,0,0
5,6.375342466,0,0,0,0,0,0,0,0,0
5,7.04109589,0,1,0,0,0,0,0,0,0
5,6.542465753,0,0,0,0,0,0,0,0,0
125,4.709589041,0,0,0,0,0,0,1,0,1
5,6.956164384,0,0,0,0,0,0,0,0,0
125,2.953424658,0,0,0,0,0,0,0,0,1
5,5.794520548,0,1,0,0,0,0,0,0,0
5,7.794520548,0,1,0,0,0,0,0,0,0
5,4.956164384,0,0,0,0,0,0,0,0,0
5,7.709589041,0,0,0,0,0,0,0,0,0
5,5.542465753,0,0,0,0,0,0,0,0,0
5,6.290410959,0,0,0,0,0,0,0,0,0
25,7.794520548,0,0,1,0,0,0,0,0,0
5,7.542465753,0,0,0,0,0,0,0,0,0
125,7.62739726,0,0,0,1,0,0,0,0,1
25,6.871232877,0,0,1,0,0,0,0,0,1
5,5.542465753,0,0,0,0,0,0,0,0,0
5,6.290410959,0,1,0,0,0,0,0,0,0
5,8.293150685,0,0,0,0,0,0,0,1,0
25,3.37260274,0,0,0,0,0,1,0,0,1
5,5.375342466,0,1,0,0,0,0,0,0,0
5,7.709589041,0,0,0,0,0,0,0,0,0
25,7.709589041,0,0,0,0,0,0,0,0,0
125,7.709589041,0,0,0,0,0,0,0,0,0
5,6.794520548,0,1,0,0,0,0,0,0,0
5,6.208219178,0,0,0,0,0,0,0,0,0
25,6.542465753,0,0,0,0,0,0,0,0,1
25,6.375342466,0,0,0,0,0,0,1,0,0
25,6.62739726,0,0,0,0,0,0,0,0,0
5,6.123287671,0,0,0,0,0,0,0,0,0
5,4.871232877,0,0,0,0,0,0,0,0,0
5,5.04109589,0,0,0,0,0,0,0,0,0
25,7.208219178,0,0,0,0,0,0,0,0,1
5,4.375342466,0,0,0,0,0,0,0,0,0
5,6.375342466,0,0,0,0,0,0,0,0,0
25,4.956164384,0,0,0,0,0,0,0,0,0
5,6.290410959,0,0,0,0,0,0,0,0,1
5,7.794520548,0,0,0,0,0,0,0,0,0
5,5.375342466,0,0,0,0,0,0,0,0,0
125,4.208219178,0,0,0,0,0,0,0,0,1
25,3.624657534,0,0,0,0,0,0,0,0,0
25,7.460273973,0,0,0,0,0,0,0,0,1
5,5.375342466,0,0,0,0,0,0,0,0,0
5,5.871232877,0,0,0,0,0,0,0,0,0
5,6.208219178,0,0,0,0,0,0,0,0,0
5,6.871232877,0,0,0,0,0,0,0,0,0
5,4.794520548,0,1,0,0,1,0,0,0,0
25,7.709589041,0,1,0,0,0,0,0,0,0
125,6.794520548,0,0,0,0,0,0,0,0,1
25,6.290410959,0,0,1,0,0,0,0,0,0
5,6.290410959,0,0,0,0,0,0,0,0,0
5,7.208219178,0,0,0,0,0,0,0,0,0
5,4.04109589,0,0,0,0,0,0,0,0,0
5,5.542465753,0,0,0,0,0,0,0,0,0
5,6.04109589,0,0,0,0,0,0,0,0,0
5,8.463013699,0,0,0,0,1,0,0,0,0
25,4.62739726,0,0,0,0,0,0,0,0,0
25,4.123287671,0,0,0,0,0,0,0,0,0
5,5.62739726,1,0,0,0,0,0,0,0,0
25,6.290410959,0,0,1,0,0,0,0,0,0
5,5.794520548,0,1,0,0,0,0,0,0,0
5,6.123287671,0,0,0,0,0,0,0,0,0
25,4.794520548,0,0,0,0,0,0,0,0,0
25,5.123287671,1,0,0,0,0,0,0,0,0
5,6.208219178,0,0,0,0,0,0,0,0,0
25,6.62739726,0,0,0,0,0,0,0,0,1
25,3.287671233,0,0,0,0,0,0,0,0,0
5,6.375342466,0,0,0,0,0,0,0,0,0
5,5.208219178,0,0,0,0,0,0,0,0,0
5,6.794520548,0,0,0,0,0,0,0,0,0
25,6.709589041,0,0,0,0,0,0,0,0,0
5,7.208219178,0,0,0,0,0,0,0,0,0
5,5.290410959,0,0,0,0,0,0,0,0,0
5,7.208219178,0,0,0,0,0,0,0,0,0
5,6.871232877,0,0,0,0,0,0,0,0,0
25,7.123287671,0,1,0,0,0,0,0,0,1
25,4.956164384,0,1,0,0,0,0,0,0,1
5,5.794520548,0,0,0,0,0,0,0,0,0
5,2.953424658,0,0,0,0,0,0,0,0,0
5,4.542465753,0,0,0,0,0,0,0,0,0
5,8.463013699,0,0,0,0,0,0,0,0,0
25,7.208219178,0,1,0,0,0,0,0,0,0
25,4.871232877,0,0,0,0,0,0,0,0,1
5,5.04109589,0,0,0,0,0,0,0,0,0
5,6.375342466,0,0,0,0,0,0,0,0,0
5,5.62739726,0,0,0,0,0,0,0,0,0
5,5.123287671,0,0,0,0,0,0,0,0,0
25,5.542465753,0,0,0,0,0,0,0,0,0
5,4.208219178,0,0,0,0,0,0,0,0,0
125,7.375342466,0,0,0,0,0,0,0,0,0
5,6.62739726,0,0,0,0,0,0,0,0,0
5,6.375342466,0,1,0,0,0,0,0,0,0
5,7.208219178,0,0,0,0,0,0,0,0,0
5,6.871232877,0,0,0,0,0,0,0,0,0
5,5.04109589,0,0,0,0,0,0,0,0,0
5,6.956164384,0,0,0,0,0,0,0,0,0
5,6.123287671,0,1,0,0,0,0,0,0,0
5,5.794520548,0,1,0,0,0,0,0,0,0
5,5.871232877,0,0,0,0,0,0,0,0,0
5,7.873972603,0,0,0,0,0,0,0,0,0
5,2.706849315,0,0,1,0,0,0,0,0,1
5,8.378082192,0,1,0,0,0,0,0,0,0
5,5.290410959,0,1,0,0,0,0,0,0,0
5,4.290410959,0,1,0,0,0,0,0,0,0
25,5.208219178,0,0,0,0,0,0,0,0,0
25,6.460273973,1,0,0,0,0,0,0,0,1
5,7.04109589,0,0,0,0,0,0,1,0,0
5,5.542465753,0,0,0,0,0,0,0,0,0
5,6.62739726,0,0,0,0,0,0,0,0,0
25,7.460273973,0,1,0,0,0,0,0,0,1
25,6.709589041,0,0,0,0,0,0,0,0,1
5,5.871232877,0,0,0,0,0,0,0,0,0
25,4.542465753,0,0,0,0,0,0,0,0,1
25,9.463013699,0,0,0,0,0,0,0,0,0
25,7.709589041,0,0,0,0,0,0,0,0,0
5,5.956164384,0,0,0,0,0,0,1,0,0
5,6.290410959,0,0,0,0,0,0,0,0,0
3000,5.04109589,0,1,0,0,0,0,0,0,0
25,7.04109589,0,0,0,0,0,0,0,0,1
5,6.460273973,0,0,0,0,0,0,0,0,0
5,5.04109589,0,0,0,0,0,0,0,0,0
5,7.542465753,0,0,0,0,0,0,0,0,0
5,5.794520548,0,0,0,0,0,0,0,0,0
25,8.463013699,0,0,0,0,0,0,0,0,0
25,6.956164384,0,0,0,0,0,0,0,0,1
25,5.794520548,0,0,0,0,0,0,0,0,0
25,4.709589041,0,0,0,0,0,0,0,0,0
25,6.956164384,0,0,0,0,0,0,0,0,0
5,6.956164384,0,0,0,0,0,0,0,0,0
25,7.290410959,0,0,0,0,0,0,0,0,0
5,6.208219178,0,0,0,0,0,0,0,0,0
5,5.956164384,0,0,0,0,0,0,0,0,0
5,4.62739726,0,0,0,0,0,0,0,0,0
5,4.290410959,0,0,0,0,0,0,0,0,0
5,6.709589041,0,0,0,0,0,0,0,0,0
25,5.375342466,0,0,0,0,0,0,0,0,1
25,6.04109589,0,0,0,0,0,0,0,0,1
5,6.208219178,0,0,0,0,0,0,0,0,0
5,7.375342466,0,0,0,0,0,0,1,0,0
25,5.709589041,0,0,0,0,0,0,0,0,0
5,6.871232877,0,0,0,0,0,0,0,0,0
5,5.542465753,0,1,0,0,0,0,0,0,0
25,4.542465753,0,0,0,0,0,0,0,1,0
5,8.95890411,0,0,0,0,0,0,0,0,0
25,8.126027397,0,0,0,0,0,0,0,0,0
125,6.709589041,0,0,0,0,0,0,0,0,1
5,7.123287671,0,0,0,0,0,0,0,0,0
5,8.378082192,0,0,0,0,0,0,0,0,0
5,5.123287671,0,0,0,0,0,0,0,0,0
25,6.375342466,0,0,0,0,0,0,0,0,0
5,7.375342466,0,0,0,0,1,0,0,0,0
25,6.871232877,0,0,0,0,0,0,0,0,0
5,4.208219178,0,0,0,0,0,0,0,0,0
25,6.871232877,0,1,0,0,0,0,0,0,0
5,5.542465753,0,0,0,0,0,0,0,0,0
125,6.290410959,0,0,0,0,0,0,0,0,0
5,7.123287671,0,0,0,0,0,0,0,0,0
25,6.460273973,0,1,0,0,0,0,0,0,0
5,7.04109589,0,0,0,0,0,0,0,0,0
5,5.871232877,0,0,0,0,0,0,0,0,0
25,8.126027397,0,0,0,0,0,0,0,0,0
5,6.542465753,0,0,0,0,0,0,0,0,1
5,4.794520548,0,0,0,0,0,0,0,0,0
25,8.797260274,0,0,0,0,0,0,0,0,1
5,6.871232877,0,0,0,0,0,0,0,0,0
5,6.62739726,0,0,0,0,0,0,0,0,1
25,4.956164384,0,1,0,0,0,0,0,1,1
5,6.290410959,0,0,0,0,0,0,0,0,0
5,7.208219178,0,0,0,0,0,0,0,0,0
25,3.706849315,0,1,0,0,0,0,0,0,1
25,5.208219178,0,0,0,0,0,0,0,0,0
5,6.290410959,0,0,0,0,0,0,0,0,0
5,7.95890411,0,0,0,0,0,0,0,0,0
25,7.62739726,0,0,0,0,0,0,1,0,0
25,5.208219178,0,1,0,0,0,0,0,0,1
25,3.706849315,0,0,0,0,0,0,0,0,1
5,8.797260274,0,0,0,0,0,0,0,0,0
25,3.539726027,0,0,0,0,0,0,0,0,1
5,5.956164384,0,0,0,0,0,0,0,0,0
5,5.542465753,0,0,0,0,0,0,0,0,0
5,5.956164384,0,0,0,0,0,0,0,0,0
25,6.794520548,0,1,0,0,0,0,0,0,1
25,5.04109589,0,0,0,0,0,0,0,0,1
25,5.208219178,0,1,0,0,0,0,0,0,1
350,5.956164384,0,0,0,0,0,0,0,0,1
25,4.956164384,0,0,0,0,0,0,0,0,0
5,4.123287671,0,0,0,0,0,0,0,0,0
5,4.542465753,0,1,0,0,0,0,0,0,0
5,6.62739726,0,1,0,0,0,0,0,0,0
5,9.293150685,0,0,0,0,0,0,0,0,0
25,5.04109589,0,0,0,0,0,0,0,0,1
5,6.208219178,0,0,0,0,0,0,0,0,0
5,4.956164384,0,0,0,0,0,0,0,0,0
5,6.123287671,0,0,0,0,0,0,0,0,0
5,4.794520548,0,0,0,0,0,0,0,0,0
125,8.797260274,0,0,0,0,0,0,0,0,0
5,8.378082192,0,0,0,0,0,0,0,0,0
5,4.794520548,0,0,0,0,0,0,0,0,0
5,8.378082192,0,0,0,0,1,0,0,0,0
125,3.706849315,0,0,0,0,0,0,0,0,1
5,5.208219178,0,0,0,0,0,0,0,0,0
25,6.871232877,0,0,0,0,0,0,0,0,1
5,5.709589041,0,0,0,0,0,1,0,0,1
25,5.871232877,0,0,0,0,0,0,0,0,0
5,7.794520548,0,0,0,0,0,0,0,0,0
5,7.62739726,0,0,0,0,0,0,0,0,0
25,5.956164384,0,0,0,0,0,0,0,0,1
5,4.375342466,0,0,0,0,0,0,0,0,0
5,6.542465753,0,0,0,0,0,0,0,0,0
5,5.871232877,0,0,0,0,0,0,0,0,0
5,4.123287671,0,1,0,0,0,0,0,0,1
5,7.873972603,0,0,0,0,0,0,0,0,0
5,3.205479452,0,0,0,0,0,0,0,0,1
25,5.794520548,0,0,0,0,0,0,0,0,1
5,7.873972603,0,1,0,0,0,0,0,0,0
5,4.123287671,0,0,0,0,0,0,0,0,0
25,4.956164384,0,0,0,0,0,0,0,0,1
25,5.794520548,0,0,0,0,0,0,0,0,0
5,7.794520548,0,0,0,0,0,0,0,0,0
25,5.871232877,0,0,0,0,0,0,0,0,0
5,6.290410959,0,0,0,0,0,0,0,0,0
5,7.794520548,0,0,0,0,0,0,0,0,0
25,5.956164384,0,1,0,0,0,0,1,0,1
5,6.208219178,0,0,0,0,0,0,0,0,0
5,6.542465753,0,1,0,0,0,0,0,0,0
5,7.95890411,0,0,0,0,0,0,0,0,0
5,3.624657534,0,0,0,0,0,0,0,0,0
25,6.375342466,0,1,0,0,0,0,0,0,1
5,8.463013699,0,1,0,0,0,0,1,0,0
5,6.542465753,0,0,0,0,0,0,0,0,0
5,3.956164384,0,0,0,0,0,0,0,0,1
5,6.460273973,0,0,0,0,1,0,0,0,0
5,6.542465753,0,0,0,0,0,0,0,0,0
5,5.542465753,0,0,0,0,0,0,0,0,0
5,8.378082192,0,1,0,0,0,0,0,0,1
5,6.290410959,0,0,0,0,0,0,0,0,0
25,7.709589041,0,0,0,0,0,0,0,0,0
5,6.709589041,0,0,0,0,0,0,0,0,0
25,3.624657534,0,0,0,0,0,0,0,0,1
5,3.539726027,0,0,0,0,0,0,0,0,1
5,7.123287671,0,0,0,0,0,0,0,0,0
5,5.794520548,0,0,0,0,0,0,0,0,0
25,6.208219178,0,0,0,0,0,0,0,0,0
5,6.460273973,0,0,0,0,0,0,0,0,0
5,4.123287671,0,0,0,0,0,0,0,0,0
5,4.208219178,0,0,0,0,0,0,0,0,0
5,6.375342466,0,0,0,0,0,0,0,0,0
5,6.460273973,0,0,0,0,0,0,0,0,0
5,6.375342466,0,0,0,0,0,0,0,0,0
5,5.709589041,0,0,0,0,0,0,0,0,0
5,6.290410959,0,1,0,0,0,0,0,0,0
25,7.375342466,0,1,0,0,0,0,0,0,1
25,5.208219178,0,0,0,0,0,0,0,0,0
5,6.290410959,0,0,0,0,0,0,0,0,0
25,5.794520548,0,0,0,0,0,0,0,0,0
25,9.210958904,0,0,0,0,0,0,0,0,0
5,6.375342466,0,0,0,0,0,0,0,0,0
25,7.04109589,0,1,0,0,0,0,0,0,1
25,5.290410959,0,0,0,0,0,0,0,0,0
5,6.375342466,0,0,0,0,0,0,0,0,0
25,5.794520548,0,1,0,0,0,0,0,0,1
25,6.290410959,0,0,0,0,0,0,0,0,0
25,6.460273973,0,1,0,0,0,0,0,0,0
25,4.794520548,0,0,0,0,0,0,0,0,0
5,5.290410959,0,0,0,0,0,0,0,0,0
25,5.208219178,0,1,0,0,0,0,0,0,1
5,6.123287671,0,0,0,0,0,0,0,0,1
125,6.794520548,0,0,0,0,0,0,0,0,0
5,7.542465753,0,1,0,0,0,0,0,0,0
25,3.956164384,0,0,0,0,0,0,0,0,1
5,7.04109589,0,0,0,0,0,0,0,0,0
25,3.205479452,0,1,0,0,0,0,0,0,1
5,6.460273973,0,0,0,0,0,0,0,0,1
5,6.794520548,0,0,0,0,0,0,0,0,0
5,7.208219178,0,1,0,0,1,0,0,0,1
5,7.04109589,0,0,0,0,0,0,0,0,0
25,5.208219178,0,0,0,0,0,0,0,0,0
5,6.709589041,0,0,1,0,0,0,0,0,0
5,6.542465753,0,1,0,0,0,0,0,0,0
5,6.871232877,0,0,0,0,0,0,0,0,0
25,6.375342466,0,0,0,0,0,0,0,0,0
25,4.956164384,0,0,0,0,0,0,0,0,0
5,6.460273973,0,0,0,0,0,0,1,0,0
5,6.871232877,0,0,0,0,0,0,0,0,0
5,8.463013699,0,0,0,0,0,0,0,0,0
5,6.290410959,0,1,0,0,0,0,0,0,0
5,5.871232877,0,0,1,0,0,0,1,0,0
5,5.542465753,0,0,0,0,0,0,0,0,0
5,8.630136986,0,0,0,0,0,0,0,0,0
25,5.04109589,0,0,0,0,0,0,0,0,0
5,6.460273973,0,0,0,0,0,0,0,0,1
8000,6.794520548,0,0,0,0,0,0,0,0,1
5,8.378082192,0,1,0,0,0,0,0,0,0
5,5.871232877,0,0,0,0,0,0,0,0,0
5,6.871232877,0,0,0,0,0,0,0,0,0
5,5.62739726,0,0,0,0,0,0,0,0,0
5,4.794520548,0,0,0,0,0,0,0,0,0
5,3.871232877,0,0,0,0,0,0,0,0,0
5,5.956164384,0,0,0,0,0,0,0,0,0
25,7.208219178,0,0,0,0,0,0,0,0,0
25,3.457534247,0,1,0,0,0,0,0,0,0
5,8.210958904,0,0,0,0,0,0,0,0,0
5,8.797260274,0,0,0,0,0,0,0,0,0
5,6.794520548,0,0,0,0,0,0,0,0,0
5,6.208219178,0,0,0,0,0,0,0,0,0
5,7.208219178,0,0,0,0,0,0,0,0,0
25,4.123287671,0,0,1,0,0,0,0,0,1
5,5.871232877,0,0,0,0,0,0,0,0,0
25,6.794520548,0,0,0,0,0,0,0,0,0
25,7.460273973,0,1,0,0,0,0,0,0,1
25,3.871232877,0,0,0,0,0,0,0,0,0
5,7.460273973,0,0,0,0,0,0,0,0,0
25,4.290410959,0,0,1,0,0,0,0,0,1
125,5.709589041,0,0,0,0,0,0,0,0,0
25,4.460273973,1,0,0,0,0,0,0,0,0
5,6.290410959,0,0,0,1,0,0,0,0,0
25,3.205479452,0,0,0,0,0,0,0,0,0
5,4.375342466,0,0,0,0,0,0,0,0,0
5,6.290410959,0,0,0,0,0,0,0,0,0
5,5.290410959,0,0,1,0,0,0,0,0,0
5,5.542465753,0,0,0,0,0,0,0,0,1
5,5.04109589,0,0,0,0,0,0,0,0,0
5,4.04109589,0,0,0,0,0,0,0,0,0
5,5.208219178,0,0,0,0,0,0,0,0,0
5,7.709589041,0,0,0,0,0,0,0,0,0
25,6.956164384,0,0,0,0,0,0,0,0,1
25,3.791780822,0,0,0,0,0,0,0,0,1
5,8.043835616,0,0,0,0,0,0,0,0,0
5,6.794520548,0,0,0,0,0,0,0,0,0
5,6.123287671,0,0,0,0,0,0,0,0,0
25,5.794520548,0,0,0,0,0,0,0,0,0
5,6.542465753,0,0,0,0,0,0,0,0,0
5,5.04109589,0,0,0,0,0,0,0,0,0
5,7.460273973,0,0,0,0,0,0,0,0,0
5,6.375342466,0,0,0,0,0,0,0,0,0
5,5.208219178,0,0,0,0,0,0,0,0,0
25,6.290410959,0,0,0,0,0,0,0,0,0
5,6.375342466,0,0,0,0,0,0,1,0,0
25,7.95890411,0,0,0,0,0,0,0,0,0
5,3.624657534,0,0,1,0,0,0,0,0,0
5,6.04109589,0,0,0,0,0,0,0,0,0
5,8.210958904,0,0,0,0,0,0,0,0,0
25,5.956164384,0,0,0,0,0,1,0,0,0
25,9.043835616,0,1,0,0,0,0,0,0,0
5,6.208219178,0,0,0,0,0,0,0,0,0
25,6.871232877,0,0,0,0,0,0,0,0,0
25,6.460273973,0,1,0,0,0,0,0,0,1
5,6.208219178,0,0,0,0,0,1,0,0,0
5,6.123287671,0,0,0,0,0,0,0,0,0
125,8.873972603,0,0,0,0,0,0,0,0,1
5,4.460273973,0,0,0,0,0,0,0,0,0
5,6.208219178,0,0,0,0,0,0,1,0,0
25,7.460273973,0,0,0,0,0,0,1,0,0
5,6.208219178,0,0,0,0,0,0,0,0,0
25,4.62739726,0,0,0,0,0,0,0,0,1
5,7.709589041,0,0,0,0,0,0,0,0,0
5,6.208219178,0,0,0,0,0,0,0,0,0
5,6.62739726,0,0,0,0,0,0,0,0,0
5,4.794520548,0,0,0,0,0,0,0,0,0
25,7.04109589,0,0,0,0,0,0,0,0,0
25,4.542465753,0,0,0,0,0,0,0,0,1
5,7.290410959,0,0,0,0,0,0,0,0,0
5,4.460273973,0,0,0,0,0,0,0,0,0
25,4.871232877,0,0,0,0,0,0,0,0,0
5,5.871232877,0,0,0,0,0,0,0,0,0
25,6.460273973,0,0,0,0,0,0,0,0,0
5,4.62739726,0,0,0,0,0,0,0,0,0
5,6.542465753,0,0,0,0,0,0,0,0,0
5,5.794520548,0,0,0,0,0,0,0,0,0
5,6.794520548,0,0,0,0,0,0,0,0,0
5,6.375342466,0,0,0,0,0,0,0,0,0
5,5.62739726,0,0,0,0,0,0,0,0,0
5,8.210958904,0,0,0,0,0,0,0,0,0
25,4.62739726,0,0,0,0,0,0,0,0,0
25,5.709589041,0,0,0,0,0,0,0,0,0
5,6.794520548,0,0,0,0,0,0,0,0,0
25,6.375342466,0,0,0,0,0,0,0,0,1
5,7.873972603,0,0,0,0,0,0,0,0,0
5,4.290410959,0,0,0,0,0,0,0,0,0
5,7.04109589,0,0,0,0,0,0,0,0,0
25,3.956164384,0,0,0,0,0,0,0,0,0
5,7.95890411,0,0,0,0,0,0,0,0,0
25,5.709589041,0,0,0,0,0,0,0,0,0
5,6.709589041,0,0,0,0,0,0,0,0,0
25,3.706849315,0,0,0,0,0,0,0,0,0
5,7.375342466,0,0,0,0,0,0,0,0,0
25,6.794520548,0,0,0,0,0,0,0,0,0
5,7.208219178,0,0,0,0,0,0,1,0,0
125,7.460273973,0,0,0,0,0,0,0,0,1
5,6.208219178,0,0,0,0,0,0,0,0,0
5,6.123287671,0,0,0,0,0,0,0,0,0
5,6.542465753,0,0,0,0,0,0,0,0,0
5,6.123287671,0,0,0,0,0,0,0,0,0
5,7.123287671,0,1,0,0,0,0,0,0,0
25,4.709589041,0,0,0,0,0,0,0,0,0
25,6.542465753,0,0,0,0,0,0,0,0,0
25,7.04109589,0,0,0,1,0,0,0,0,1
25,4.709589041,0,1,0,0,0,0,0,0,0
25,5.208219178,0,0,0,0,0,0,0,1,0
5,6.709589041,0,0,0,0,0,0,0,0,0
5,4.871232877,0,1,0,0,0,0,0,0,1
25,4.709589041,0,0,0,0,0,0,0,0,0
25,2.624657534,0,0,0,0,0,0,0,0,0
5,5.956164384,0,0,0,0,0,0,0,0,0
5,5.871232877,0,0,0,0,0,0,0,0,0
5,3.871232877,0,0,0,0,0,0,0,0,0
5,5.709589041,0,0,0,0,0,0,0,0,0
5,6.542465753,0,0,0,0,0,0,0,0,1
5,6.375342466,0,0,1,0,0,0,0,0,0
25,5.208219178,0,0,0,0,0,0,0,0,0
5,6.794520548,0,0,0,0,0,0,0,0,0
5,5.956164384,0,0,0,0,0,0,0,0,0
5,7.375342466,0,0,0,0,0,0,0,0,0
25,8.95890411,0,0,0,0,0,0,0,0,0
25,4.208219178,1,0,0,0,0,0,0,0,1
25,6.794520548,0,0,0,0,0,0,0,0,1
25,2.539726027,0,1,0,0,0,0,0,0,0
5,7.04109589,0,1,0,0,0,0,0,0,0
125,7.460273973,0,0,0,0,0,0,0,0,0
5,4.375342466,0,0,0,0,0,0,0,0,0
25,3.956164384,0,0,0,0,0,0,0,0,0
5,6.871232877,0,0,0,0,0,0,0,0,1
25,5.290410959,0,0,0,0,0,0,0,0,0
25,5.709589041,0,0,0,0,0,0,0,0,0
5,6.290410959,0,0,0,0,0,0,0,0,0
25,6.290410959,0,0,0,0,0,0,0,0,0
